molecule_id,status,solvent,model_chemistry,charge,multiplicity,gas_log,solution_log,gas_gibbs_hartree,solution_gibbs_hartree,dft_delta_g_kcal_mol,gas_imaginary_frequencies,solution_imaginary_frequencies,gas_min_frequency_cm1,solution_min_frequency_cm1,gas_thermochemistry_warning,solution_thermochemistry_warning,notes
benzyl_chloride,PASS,Water,"M052X/6-31+G(d,p)",0,1,benzyl_chloride/benzyl_chloride_gas_optfreq_M052X_631pGdp.log,benzyl_chloride/benzyl_chloride_water_optfreq_SMD_M052X_631pGdp.log,-731.031186,-731.037880,-4.200548,0,0,24.5074,34.9260,True,True,
benzyl_imidazole,PASS,Water,"M052X/6-31+G(d,p)",0,1,benzyl_imidazole/benzyl_imidazole_gas_optfreq_M052X_631pGdp.log,benzyl_imidazole/benzyl_imidazole_water_optfreq_SMD_M052X_631pGdp.log,-496.410122,-496.427520,-10.917410,0,0,26.9788,20.1481,True,True,
biphenyl,PASS,Water,"M052X/6-31+G(d,p)",0,1,biphenyl/biphenyl_gas_optfreq_M052X_631pGdp.log,biphenyl/biphenyl_water_optfreq_SMD_M052X_631pGdp.log,-463.135564,-463.141417,-3.672813,0,0,71.2408,72.8275,True,True,
bromobenzene,PASS,Water,"M052X/6-31+G(d,p)",0,1,bromobenzene/bromobenzene_gas_optfreq_M052X_631pGdp.log,bromobenzene/bromobenzene_water_optfreq_SMD_M052X_631pGdp.log,-2803.281977,-2803.286704,-2.966237,0,0,204.6338,203.7637,True,True,
caffeine,PASS,Water,"M052X/6-31+G(d,p)",0,1,caffeine/caffeine_gas_optfreq_M052X_631pGdp.log,caffeine/caffeine_water_optfreq_SMD_M052X_631pGdp.log,-680.181999,-680.204339,-14.018562,0,0,60.3984,77.5749,True,True,
chlorobenzene,PASS,Water,"M052X/6-31+G(d,p)",0,1,chlorobenzene/chlorobenzene_gas_optfreq_M052X_631pGdp.log,chlorobenzene/chlorobenzene_water_optfreq_SMD_M052X_631pGdp.log,-691.745055,-691.748430,-2.117844,0,0,190.9556,188.9245,True,True,
chlorobiphenyl,PASS,Water,"M052X/6-31+G(d,p)",0,1,chlorobiphenyl/chlorobiphenyl_gas_optfreq_M052X_631pGdp.log,chlorobiphenyl/chlorobiphenyl_water_optfreq_SMD_M052X_631pGdp.log,-922.721860,-922.727117,-3.298817,0,0,60.1067,59.0234,True,True,
cumene,PASS,Water,"M052X/6-31+G(d,p)",0,1,cumene/cumene_gas_retry_from_water.log,cumene/cumene_water_optfreq_SMD_M052X_631pGdp.log,-350.014380,-350.016404,-1.270079,0,0,42.3272,44.7381,True,True,
dibenzodioxin,REVIEW,Water,"M052X/6-31+G(d,p)",0,1,dibenzodioxin/dibenzodioxin_gas_optfreq_M052X_631pGdp.log,dibenzodioxin/dibenzodioxin_water_optfreq_SMD_M052X_631pGdp.log,-612.364018,-612.367859,,0,1,15.0517,-9.4763,True,True,solution failed: 1 imaginary frequency/frequencies
dichlorobiphenyl,PASS,Water,"M052X/6-31+G(d,p)",0,1,dichlorobiphenyl/dichlorobiphenyl_gas_optfreq_M052X_631pGdp.log,dichlorobiphenyl/dichlorobiphenyl_water_optfreq_SMD_M052X_631pGdp.log,-1382.303465,-1382.308859,-3.384786,0,0,54.0607,56.5142,True,True,
dihydroanthracene,PASS,Water,"M052X/6-31+G(d,p)",0,1,dihydroanthracene/dihydroanthracene_gas_retry_from_water.log,dihydroanthracene/dihydroanthracene_water_optfreq_SMD_M052X_631pGdp.log,-540.530799,-540.538535,-4.854413,0,0,55.3389,57.0019,True,True,
dimethyl_naphthalene_1,PASS,Water,"M052X/6-31+G(d,p)",0,1,dimethyl_naphthalene_1/dimethyl_naphthalene_1_gas_retry_from_water.log,dimethyl_naphthalene_1/dimethyl_naphthalene_1_water_optfreq_SMD_M052X_631pGdp.log,-464.330652,-464.335430,-2.998240,0,0,102.1254,107.8609,True,True,
dimethyl_naphthalene_2,PASS,Water,"M052X/6-31+G(d,p)",0,1,dimethyl_naphthalene_2/dimethyl_naphthalene_2_gas_optfreq_M052X_631pGdp.log,dimethyl_naphthalene_2/dimethyl_naphthalene_2_water_optfreq_SMD_M052X_631pGdp.log,-464.330573,-464.335333,-2.986945,0,0,100.4198,103.0009,True,True,
dimethyl_naphthalene_3,PASS,Water,"M052X/6-31+G(d,p)",0,1,dimethyl_naphthalene_3/dimethyl_naphthalene_3_gas_optfreq_M052X_631pGdp.log,dimethyl_naphthalene_3/dimethyl_naphthalene_3_water_optfreq_SMD_M052X_631pGdp.log,-464.319443,-464.323685,-2.661895,0,0,30.2678,65.4215,True,True,
dimethyl_naphthalene_4,PASS,Water,"M052X/6-31+G(d,p)",0,1,dimethyl_naphthalene_4/dimethyl_naphthalene_4_gas_retry_from_water.log,dimethyl_naphthalene_4/dimethyl_naphthalene_4_water_optfreq_SMD_M052X_631pGdp.log,-464.332125,-464.336970,-3.040283,0,0,80.7866,79.7714,True,True,
diphenyl_ether,PASS,Water,"M052X/6-31+G(d,p)",0,1,diphenyl_ether/diphenyl_ether_gas_optfreq_M052X_631pGdp.log,diphenyl_ether/diphenyl_ether_water_optfreq_SMD_M052X_631pGdp.log,-538.335500,-538.342382,-4.318520,0,0,19.7019,18.3407,True,True,
ethanol,PASS,Water,"M052X/6-31+G(d,p)",0,1,ethanol/ethanol_gas_optfreq_M052X_631pGdp.log,ethanol/ethanol_water_optfreq_SMD_M052X_631pGdp.log,-154.965768,-154.975175,-5.902982,0,0,243.9426,236.7337,True,True,
ethyl_naphthalene,PASS,Water,"M052X/6-31+G(d,p)",0,1,ethyl_naphthalene/ethyl_naphthalene_gas_optfreq_M052X_631pGdp.log,ethyl_naphthalene/ethyl_naphthalene_water_optfreq_SMD_M052X_631pGdp.log,-464.324013,-464.328888,-3.059109,0,0,92.2225,91.6907,True,True,
ethylbenzene,PASS,Water,"M052X/6-31+G(d,p)",0,1,ethylbenzene/ethylbenzene_gas_optfreq_M052X_631pGdp.log,ethylbenzene/ethylbenzene_water_optfreq_SMD_M052X_631pGdp.log,-310.730501,-310.733122,-1.644702,0,0,31.8029,27.2651,True,True,
fluorene,PASS,Water,"M052X/6-31+G(d,p)",0,1,fluorene/fluorene_gas_optfreq_M052X_631pGdp.log,fluorene/fluorene_water_optfreq_SMD_M052X_631pGdp.log,-463.143066,-463.148790,-3.591864,0,0,74.8599,80.4735,True,True,
fluorobenzene,PASS,Water,"M052X/6-31+G(d,p)",0,1,fluorobenzene/.ipynb_checkpoints/fluorobenzene_gas_optfreq_M052X_631pGdp-checkpoint.log,fluorobenzene/.ipynb_checkpoints/fluorobenzene_water_optfreq_SMD_M052X_631pGdp-checkpoint.log,-331.403146,-331.406246,-1.945279,0,0,241.4528,240.5667,True,True,
formaldehyde,PASS,Water,"M052X/6-31+G(d,p)",0,1,formaldehyde/formaldehyde_gas_optfreq_M052X_631pGdp.log,formaldehyde/formaldehyde_water_optfreq_SMD_M052X_631pGdp.log,-114.478817,-114.483899,-3.189003,0,0,1231.9528,1258.5398,False,False,
h2o,PASS,Water,"M052X/6-31+G(d,p)",0,1,h2o/.ipynb_checkpoints/h2o_gas_optfreq_SMD_protocol_M052X_631pGdp-checkpoint.log,h2o/.ipynb_checkpoints/h2o_water_optfreq_SMD_M052X_631pGdp-checkpoint.log,-76.412343,-76.427411,-9.455313,0,0,1593.5506,1571.6328,False,False,
iodobenzene,PASS,Water,M052X/def2SVP,0,1,iodobenzene/iodobenzene_gas_optfreq_M052X_def2SVP.log,iodobenzene/iodobenzene_water_optfreq_SMD_M052X_def2SVP.log,-529.035441,-529.039580,-2.597262,0,0,155.4483,156.5617,True,True,
m_cresol,REVIEW,Water,"M052X/6-31+G(d,p)",0,1,m_cresol/m_cresol_gas_optfreq_M052X_631pGdp.log,m_cresol/m_cresol_water_optfreq_SMD_M052X_631pGdp.log,-346.663788,-346.675154,,0,0,59.6322,48.9826,True,True,gas failed: optimization incomplete; solution failed: optimization incomplete
methanol,PASS,Water,"M052X/6-31+G(d,p)",0,1,methanol/methanol_gas_retry_from_water.log,methanol/methanol_water_optfreq_SMD_M052X_631pGdp.log,-115.677003,-115.686222,-5.785010,0,0,300.8853,281.1758,True,True,
methyl_indole,PASS,Water,"M052X/6-31+G(d,p)",0,1,methyl_indole/methyl_indole_gas_optfreq_M052X_631pGdp.log,methyl_indole/methyl_indole_water_optfreq_SMD_M052X_631pGdp.log,-402.990675,-403.000448,-6.132650,0,0,135.4482,140.0302,True,True,
methyl_naphthalene,PASS,Water,"M052X/6-31+G(d,p)",0,1,methyl_naphthalene/methyl_naphthalene_gas_optfreq_M052X_631pGdp.log,methyl_naphthalene/methyl_naphthalene_water_optfreq_SMD_M052X_631pGdp.log,-425.042321,-425.047641,-3.338350,0,0,135.0676,134.1825,True,True,
methylamine,PASS,Water,"M052X/6-31+G(d,p)",0,1,methylamine/.ipynb_checkpoints/methylamine_gas_optfreq_M052X_631pGdp-checkpoint.log,methylamine/.ipynb_checkpoints/methylamine_water_optfreq_SMD_M052X_631pGdp-checkpoint.log,-95.800734,-95.808304,-4.750247,0,0,315.4214,300.1527,True,True,
n_methylaniline,PASS,Water,"M052X/6-31+G(d,p)",0,1,n_methylaniline/n_methylaniline_gas_optfreq_M052X_631pGdp.log,n_methylaniline/n_methylaniline_water_optfreq_SMD_M052X_631pGdp.log,-326.773116,-326.782055,-5.609307,0,0,102.4287,108.8999,True,True,
n_n_dimethylaniline,PASS,Water,"M052X/6-31+G(d,p)",0,1,n_n_dimethylaniline/n_n_dimethylaniline_gas_optfreq_M052X_631pGdp.log,n_n_dimethylaniline/n_n_dimethylaniline_water_optfreq_SMD_M052X_631pGdp.log,-366.045421,-366.053306,-4.947912,0,0,69.0374,22.0685,True,True,
naphthalene,PASS,Water,"M052X/6-31+G(d,p)",0,1,naphthalene/naphthalene_gas_optfreq_M052X_631pGdp.log,naphthalene/naphthalene_water_optfreq_SMD_M052X_631pGdp.log,-385.755446,-385.760346,-3.074796,0,0,175.0801,177.9548,True,True,
naphthol_1,PASS,Water,"M052X/6-31+G(d,p)",0,1,naphthol_1/naphthol_1_gas_optfreq_M052X_631pGdp.log,naphthol_1/naphthol_1_water_optfreq_SMD_M052X_631pGdp.log,-460.972072,-460.984789,-7.980038,0,0,143.1930,141.9806,True,True,
naphthol_2,PASS,Water,"M052X/6-31+G(d,p)",0,1,naphthol_2/naphthol_2_gas_optfreq_M052X_631pGdp.log,naphthol_2/naphthol_2_water_optfreq_SMD_M052X_631pGdp.log,-460.971134,-460.985089,-8.756895,0,0,124.5826,128.7027,True,True,
naphthylamine_1,PASS,Water,"M052X/6-31+G(d,p)",0,1,naphthylamine_1/naphthylamine_1_gas_optfreq_M052X_631pGdp.log,naphthylamine_1/naphthylamine_1_water_optfreq_SMD_M052X_631pGdp.log,-441.094976,-441.107706,-7.988196,0,0,133.7064,134.6544,True,True,
naphthylamine_2,PASS,Water,"M052X/6-31+G(d,p)",0,1,naphthylamine_2/naphthylamine_2_gas_optfreq_M052X_631pGdp.log,naphthylamine_2/naphthylamine_2_water_optfreq_SMD_M052X_631pGdp.log,-441.096485,-441.109524,-8.182096,0,0,121.6802,122.0234,True,True,
nitrobenzene,PASS,Water,"M052X/6-31+G(d,p)",0,1,nitrobenzene/nitrobenzene_gas_optfreq_M052X_631pGdp.log,nitrobenzene/nitrobenzene_water_optfreq_SMD_M052X_631pGdp.log,-436.641521,-436.648454,-4.350523,0,0,57.5811,35.3054,True,True,
o_cresol,PASS,Water,"M052X/6-31+G(d,p)",0,1,o_cresol/o_cresol_gas_optfreq_M052X_631pGdp.log,o_cresol/o_cresol_water_optfreq_SMD_M052X_631pGdp.log,-346.663238,-346.673993,-6.748864,0,0,170.2097,176.3827,True,True,
o_toluidine,PASS,Water,"M052X/6-31+G(d,p)",0,1,o_toluidine/o_toluidine_gas_optfreq_M052X_631pGdp.log,o_toluidine/o_toluidine_water_optfreq_SMD_M052X_631pGdp.log,-326.787653,-326.797633,-6.262545,0,0,173.8172,173.5140,True,True,
p_cresol,REVIEW,Water,"M052X/6-31+G(d,p)",0,1,p_cresol/p_cresol_gas_optfreq_M052X_631pGdp.log,p_cresol/p_cresol_water_retry.log,-346.661750,-346.674000,,1,0,-0.9304,60.0883,True,True,gas failed: 1 imaginary frequency/frequencies
p_toluidine,PASS,Water,"M052X/6-31+G(d,p)",0,1,p_toluidine/p_toluidine_gas_optfreq_M052X_631pGdp.log,p_toluidine/p_toluidine_water_optfreq_SMD_M052X_631pGdp.log,-326.787601,-326.796907,-5.839603,0,0,39.3950,67.9513,True,True,
phenethyl_alcohol,PASS,Water,"M052X/6-31+G(d,p)",0,1,phenethyl_alcohol/phenethyl_alcohol_gas_optfreq_M052X_631pGdp.log,phenethyl_alcohol/phenethyl_alcohol_water_optfreq_SMD_M052X_631pGdp.log,-385.937169,-385.950441,-8.328306,0,0,38.9048,38.2884,True,True,
phenetole,PASS,Water,"M052X/6-31+G(d,p)",0,1,phenetole/phenetole_gas_optfreq_M052X_631pGdp.log,phenetole/phenetole_water_optfreq_SMD_M052X_631pGdp.log,-385.929071,-385.935324,-3.923817,0,0,52.4716,54.4422,True,True,
phenol,PASS,Water,"M052X/6-31+G(d,p)",0,1,phenol/phenol_gas_optfreq_M052X_631pGdp.log,phenol/phenol_water_optfreq_SMD_M052X_631pGdp.log,-307.375390,-307.387021,-7.298563,0,0,233.0188,235.3644,True,True,
propylbenzene,PASS,Water,"M052X/6-31+G(d,p)",0,1,propylbenzene/propylbenzene_gas_optfreq_M052X_631pGdp.log,propylbenzene/propylbenzene_water_optfreq_SMD_M052X_631pGdp.log,-350.014239,-350.016663,-1.521083,0,0,33.0064,31.5467,True,True,
pyridine,PASS,Water,"M052X/6-31+G(d,p)",0,1,pyridine/pyridine_gas_optfreq_M052X_631pGdp.log,pyridine/pyridine_water_optfreq_SMD_M052X_631pGdp.log,-248.203983,-248.213280,-5.833956,0,0,389.8070,391.2010,True,True,
quinoline,PASS,Water,"M052X/6-31+G(d,p)",0,1,quinoline/quinoline_gas_optfreq_M052X_631pGdp.log,quinoline/quinoline_water_optfreq_SMD_M052X_631pGdp.log,-401.800898,-401.811571,-6.697409,0,0,173.6972,172.5723,True,True,
styrene,REVIEW,Water,"M052X/6-31+G(d,p)",0,1,styrene/styrene_gas_optfreq_M052X_631pGdp.log,styrene/styrene_water_optfreq_SMD_M052X_631pGdp.log,-309.524218,,,0,0,44.7516,,True,False,solution failed: no final normal termination; Gaussian error termination; optimization incomplete; stationary point not confirmed; missing thermal Gibbs free energy; missing frequencies
thioanisole,PASS,Water,"M052X/6-31+G(d,p)",0,1,thioanisole/thioanisole_gas_optfreq_M052X_631pGdp.log,thioanisole/thioanisole_water_optfreq_SMD_M052X_631pGdp.log,-669.610480,-669.615720,-3.288150,0,0,29.8025,45.2426,True,True,
thiophenol,PASS,Water,"M052X/6-31+G(d,p)",0,1,thiophenol/thiophenol_gas_flipSH.log,thiophenol/thiophenol_water_optfreq_SMD_M052X_631pGdp.log,-630.327514,-630.333696,-3.879264,0,0,157.8631,129.5068,True,True,
trichlorobiphenyl,PASS,Water,"M052X/6-31+G(d,p)",0,1,trichlorobiphenyl/trichlorobiphenyl_gas_optfreq_M052X_631pGdp.log,trichlorobiphenyl/trichlorobiphenyl_water_optfreq_SMD_M052X_631pGdp.log,-1841.884038,-1841.888375,-2.721509,0,0,49.8464,48.9975,True,True,
