molecule_id,phase,solvent,file,checkpoint,old_checkpoint,route,model_chemistry,n_atoms,charge,multiplicity,nproc_shared,gaussian_mem,ended_normally,normal_termination_count,error_termination_count,optimization_completed,stationary_point_found,scf_energy_hartree,gibbs_free_energy_hartree,thermal_gibbs_correction_hartree,frequency_count,imaginary_frequency_count,minimum_frequency_cm1,temperature_k,pressure_atm,thermochemistry_warning,large_mo_coefficient_warning,polarization_charge_error,relaxed_pass,failure_reasons
anisole,gas,,anisole/anisole_gas_optfreq_M052X_631pGdp.log,anisole_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",16,0,1,4,8GB,True,2,0,True,True,-346.747399362,-346.642835,0.104565,42,0,89.6618,298.150,1.00000,True,True,,True,
anisole,solution,Water,anisole/anisole_water_optfreq_SMD_M052X_631pGdp.log,anisole_water_smd_M052X_631pGdp.chk,anisole_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",16,0,1,16,16GB,True,2,0,True,True,-346.753004151,-346.648714,0.104290,42,0,90.6725,298.150,1.00000,True,True,0.04784,True,
benzaldehyde,gas,,benzaldehyde/benzaldehyde_gas_optfreq_M052X_631pGdp.log,benzaldehyde_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",14,0,1,4,8GB,True,2,0,True,True,-345.549627639,-345.468352,0.081275,36,0,119.7011,298.150,1.00000,True,True,,True,
benzaldehyde,solution,Water,benzaldehyde/benzaldehyde_water_optfreq_SMD_M052X_631pGdp.log,benzaldehyde_water_smd_M052X_631pGdp.chk,benzaldehyde_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",14,0,1,16,16GB,True,2,0,True,True,-345.558849013,-345.477611,0.081238,36,0,110.0602,298.150,1.00000,True,True,0.04610,True,
benzamide,gas,,benzamide/benzamide_gas_optfreq_M052X_631pGdp.log,benzamide_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",16,0,1,4,8GB,True,2,0,True,True,-400.932790437,-400.835165,0.097626,42,0,66.3533,298.150,1.00000,True,True,,True,
benzamide,solution,Water,benzamide/benzamide_water_optfreq_SMD_M052X_631pGdp.log,benzamide_water_smd_M052X_631pGdp.chk,benzamide_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",16,0,1,16,16GB,True,2,0,True,True,-400.951883138,-400.854393,0.097490,42,0,74.5794,298.150,1.00000,True,True,0.04553,True,
benzene,gas,,benzene/benzene_gas_optfreq_M052X_631pGdp.log,benzene_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",12,0,1,4,8GB,True,2,0,True,True,-232.234011067,-232.158620,0.075391,30,0,413.5731,298.150,1.00000,True,True,,True,
benzene,solution,Water,benzene/benzene_water_optfreq_SMD_M052X_631pGdp.log,benzene_water_smd_M052X_631pGdp.chk,benzene_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",12,0,1,16,16GB,True,2,0,True,True,-232.237036229,-232.161110,0.075926,30,0,411.3179,298.150,1.00000,True,True,0.04327,True,
benzonitrile,gas,,benzonitrile/benzonitrile_gas_optfreq_M052X_631pGdp.log,benzonitrile_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",13,0,1,4,8GB,True,2,0,True,True,-324.473200060,-324.401911,0.071289,33,0,147.7194,298.150,1.00000,True,True,,True,
benzonitrile,solution,Water,benzonitrile/benzonitrile_water_optfreq_SMD_M052X_631pGdp.log,benzonitrile_water_smd_M052X_631pGdp.chk,benzonitrile_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",13,0,1,16,16GB,True,2,0,True,True,-324.480028392,-324.408853,0.071175,33,0,145.8409,298.150,1.00000,True,True,0.03754,True,
benzyl_alcohol,gas,,benzyl_alcohol/benzyl_alcohol_gas_optfreq_M052X_631pGdp.log,benzyl_alcohol_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",16,0,1,4,8GB,True,2,0,True,True,-346.756512338,-346.652554,0.103959,42,0,45.8513,298.150,1.00000,True,True,,True,
benzyl_alcohol,solution,Water,benzyl_alcohol/benzyl_alcohol_water_optfreq_SMD_M052X_631pGdp.log,benzyl_alcohol_water_smd_M052X_631pGdp.chk,benzyl_alcohol_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",16,0,1,16,16GB,True,2,0,True,True,-346.768245271,-346.664125,0.104120,42,0,56.6763,298.150,1.00000,True,True,0.04980,True,
benzyl_bromide,gas,,benzyl_bromide/benzyl_bromide_gas_optfreq_M052X_631pGdp.log,benzyl_bromide_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",15,0,1,4,8GB,True,2,0,True,True,-2842.65344008,-2842.564216,0.089224,39,0,104.2742,298.150,1.00000,True,True,,True,
benzyl_bromide,solution,Water,benzyl_bromide/benzyl_bromide_water_optfreq_SMD_M052X_631pGdp.log,benzyl_bromide_water_smd_M052X_631pGdp.chk,benzyl_bromide_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",15,0,1,16,16GB,True,2,0,True,True,-2842.65923744,-2842.570068,0.089170,39,0,110.9890,298.150,1.00000,True,True,0.02916,True,
benzyl_chloride,gas,,benzyl_chloride/benzyl_chloride_gas_optfreq_M052X_631pGdp.log,benzyl_chloride_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",15,0,1,4,8GB,True,2,0,True,True,-731.119981385,-731.031186,0.088795,39,0,24.5074,298.150,1.00000,True,True,,True,
benzyl_chloride,solution,Water,benzyl_chloride/benzyl_chloride_water_optfreq_SMD_M052X_631pGdp.log,benzyl_chloride_water_smd_M052X_631pGdp.chk,benzyl_chloride_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",15,0,1,16,16GB,True,2,0,True,True,-731.126874268,-731.037880,0.088994,39,0,34.9260,298.150,1.00000,True,True,0.03615,True,
benzyl_imidazole,gas,,benzyl_imidazole/benzyl_imidazole_gas_optfreq_M052X_631pGdp.log,benzyl_imidazole_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=200) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",22,0,1,8,12GB,True,2,0,True,True,-496.557770935,-496.410122,0.147649,60,0,26.9788,298.150,1.00000,True,True,,True,
benzyl_imidazole,solution,Water,benzyl_imidazole/benzyl_imidazole_water_optfreq_SMD_M052X_631pGdp.log,benzyl_imidazole_water_smd_M052X_631pGdp.chk,benzyl_imidazole_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=200) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",22,0,1,16,20GB,True,2,0,True,True,-496.575153201,-496.427520,0.147633,60,0,20.1481,298.150,1.00000,True,True,0.05201,True,
biphenyl,gas,,biphenyl/biphenyl_gas_optfreq_M052X_631pGdp.log,biphenyl_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=150) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",22,0,1,4,8GB,True,2,0,True,True,-463.285651078,-463.135564,0.150087,60,0,71.2408,298.150,1.00000,True,True,,True,
biphenyl,solution,Water,biphenyl/biphenyl_water_optfreq_SMD_M052X_631pGdp.log,biphenyl_water_smd_M052X_631pGdp.chk,biphenyl_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=150) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",22,0,1,16,16GB,True,2,0,True,True,-463.291603378,-463.141417,0.150187,60,0,72.8275,298.150,1.00000,True,True,0.05592,True,
bromobenzene,gas,,bromobenzene/bromobenzene_gas_optfreq_M052X_631pGdp.log,bromobenzene_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",12,0,1,4,8GB,True,2,0,True,True,-2803.34447932,-2803.281977,0.062502,30,0,204.6338,298.150,1.00000,True,True,,True,
bromobenzene,solution,Water,bromobenzene/bromobenzene_water_optfreq_SMD_M052X_631pGdp.log,bromobenzene_water_smd_M052X_631pGdp.chk,bromobenzene_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",12,0,1,16,16GB,True,2,0,True,True,-2803.34841138,-2803.286704,0.061707,30,0,203.7637,298.150,1.00000,True,True,0.02476,True,
caffeine,gas,,caffeine/caffeine_gas_optfreq_M052X_631pGdp.log,caffeine_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=200) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",24,0,1,8,12GB,True,2,0,True,True,-680.334787471,-680.181999,0.152788,66,0,60.3984,298.150,1.00000,True,True,,True,
caffeine,solution,Water,caffeine/caffeine_water_optfreq_SMD_M052X_631pGdp.log,caffeine_water_smd_M052X_631pGdp.chk,caffeine_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=200) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",24,0,1,16,20GB,True,2,0,True,True,-680.357971806,-680.204339,0.153633,66,0,77.5749,298.150,1.00000,True,True,0.04918,True,
caffeine,gas,,caffeine_gas_optfreq_SMD_protocol_M052X_631pGdp.log,caffeine_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt Freq Int=UltraFine SCF=(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",24,0,1,4,8GB,False,0,0,False,False,-680.334787135,,,0,0,,,,False,False,,False,no final normal termination; optimization incomplete; stationary point not confirmed; missing thermal Gibbs free energy; missing frequencies
caffeine,solution,Water,caffeine_water_optfreq_SMD_M052X_631pGdp.log,caffeine_water_smd_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt Freq SCRF=(SMD,Solvent=Water) Int=UltraFine S CF=(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",24,0,1,16,16GB,False,0,0,False,False,-680.296534491,,,0,0,,,,False,False,0.04983,False,no final normal termination; optimization incomplete; stationary point not confirmed; missing thermal Gibbs free energy; missing frequencies
chlorobenzene,gas,,chlorobenzene/chlorobenzene_gas_optfreq_M052X_631pGdp.log,chlorobenzene_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",12,0,1,4,8GB,True,2,0,True,True,-691.808514717,-691.745055,0.063460,30,0,190.9556,298.150,1.00000,True,True,,True,
chlorobenzene,solution,Water,chlorobenzene/chlorobenzene_water_optfreq_SMD_M052X_631pGdp.log,chlorobenzene_water_smd_M052X_631pGdp.chk,chlorobenzene_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",12,0,1,16,16GB,True,2,0,True,True,-691.811737656,-691.748430,0.063308,30,0,188.9245,298.150,1.00000,True,True,0.03170,True,
chlorobiphenyl,gas,,chlorobiphenyl/chlorobiphenyl_gas_optfreq_M052X_631pGdp.log,chlorobiphenyl_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=200) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",22,0,1,8,12GB,True,2,0,True,True,-922.860012582,-922.721860,0.138153,60,0,60.1067,298.150,1.00000,True,True,,True,
chlorobiphenyl,solution,Water,chlorobiphenyl/chlorobiphenyl_water_optfreq_SMD_M052X_631pGdp.log,chlorobiphenyl_water_smd_M052X_631pGdp.chk,chlorobiphenyl_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=200) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",22,0,1,16,20GB,True,2,0,True,True,-922.866054976,-922.727117,0.138938,60,0,59.0234,298.150,1.00000,True,True,0.04543,True,
cumene,gas,,cumene/cumene_gas_optfreq_M052X_631pGdp.log,cumene_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",21,0,1,4,8GB,True,2,0,True,True,-350.164971439,-350.008494,0.156477,57,1,-63.8576,298.150,1.00000,True,True,,False,1 imaginary frequency/frequencies
cumene,gas,,cumene/cumene_gas_retry_from_water.log,cumene_gas_retry_M052X_631pGdp.chk,cumene_water_smd_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm Geom=Checkpoint Guess=Read","M052X/6-31+G(d,p)",21,0,1,4,8GB,True,2,0,True,True,-350.168689999,-350.014380,0.154310,57,0,42.3272,298.150,1.00000,True,True,,True,
cumene,solution,Water,cumene/cumene_water_optfreq_SMD_M052X_631pGdp.log,cumene_water_smd_M052X_631pGdp.chk,cumene_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=100) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",21,0,1,16,16GB,True,2,0,True,True,-350.170436758,-350.016404,0.154033,57,0,44.7381,298.150,1.00000,True,True,0.05525,True,
dibenzodioxin,gas,,dibenzodioxin/dibenzodioxin_gas_optfreq_M052X_631pGdp.bad.log,dibenzodioxin_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=200) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",23,0,1,8,12GB,False,0,1,False,False,,,,0,0,,,,False,False,,False,no final normal termination; Gaussian error termination; optimization incomplete; stationary point not confirmed; missing thermal Gibbs free energy; missing frequencies
dibenzodioxin,gas,,dibenzodioxin/dibenzodioxin_gas_optfreq_M052X_631pGdp.log,dibenzodioxin_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=300) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",22,0,1,8,12GB,True,2,0,True,True,-612.498284421,-612.364018,0.134266,60,0,15.0517,298.150,1.00000,True,True,,True,
dibenzodioxin,solution,Water,dibenzodioxin/dibenzodioxin_water_cart_retry.log,dibenzodioxin_water_cart_retry.chk,dibenzodioxin_water_retry.chk,"#p M052X/6-31+G(d,p) Opt=(Cartesian,CalcFC,MaxCycles=500,NoEigenTest) Freq SCRF=(SMD,Solvent=Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geo m=AllCheck Guess=Read","M052X/6-31+G(d,p)",22,0,1,16,20GB,True,2,0,False,True,-612.504053442,-612.371272,0.132781,60,0,5.6457,298.150,1.00000,True,True,0.05478,False,optimization incomplete
dibenzodioxin,solution,Water,dibenzodioxin/dibenzodioxin_water_optfreq_SMD_M052X_631pGdp.log,dibenzodioxin_water_smd_M052X_631pGdp.chk,dibenzodioxin_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=200) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",22,0,1,16,20GB,True,2,0,True,True,-612.504051325,-612.367859,0.136192,60,1,-9.4763,298.150,1.00000,True,True,0.05466,False,1 imaginary frequency/frequencies
dibenzodioxin,solution,Water,dibenzodioxin/dibenzodioxin_water_retry.log,dibenzodioxin_water_retry.chk,dibenzodioxin_water_smd_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=300,NoEigenTest) Freq SCRF= (SMD,Solvent=Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=AllCheck Guess=Read","M052X/6-31+G(d,p)",22,0,1,16,20GB,True,2,0,False,True,-612.504051359,-612.367858,0.136193,60,1,-8.6277,298.150,1.00000,True,True,0.05466,False,optimization incomplete; 1 imaginary frequency/frequencies
dichlorobiphenyl,gas,,dichlorobiphenyl/dichlorobiphenyl_gas_optfreq_M052X_631pGdp.log,dichlorobiphenyl_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=200) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",22,0,1,8,12GB,True,2,0,True,True,-1382.42991888,-1382.303465,0.126453,60,0,54.0607,298.150,1.00000,True,True,,True,
dichlorobiphenyl,solution,Water,dichlorobiphenyl/dichlorobiphenyl_water_optfreq_SMD_M052X_631pGdp.log,dichlorobiphenyl_water_smd_M052X_631pGdp.chk,dichlorobiphenyl_gas_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=200) Freq SCRF=(SMD,Solvent =Water) Int=UltraFine SCF=(XQC,Tight) NoSymm Geom=Checkpoint Guess=Rea d","M052X/6-31+G(d,p)",22,0,1,16,20GB,True,2,0,True,True,-1382.43552269,-1382.308859,0.126664,60,0,56.5142,298.150,1.00000,True,True,0.03967,True,
dihydroanthracene,gas,,dihydroanthracene/dihydroanthracene_gas_optfreq_M052X_631pGdp.bad.log,dihydroanthracene_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=200) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",25,0,1,8,12GB,False,0,1,False,False,,,,0,0,,,,False,False,,False,no final normal termination; Gaussian error termination; optimization incomplete; stationary point not confirmed; missing thermal Gibbs free energy; missing frequencies
dihydroanthracene,gas,,dihydroanthracene/dihydroanthracene_gas_optfreq_M052X_631pGdp.log,dihydroanthracene_gas_M052X_631pGdp.chk,,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=300) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm","M052X/6-31+G(d,p)",26,0,1,8,12GB,True,2,0,True,True,-540.712506898,-540.526788,0.185719,72,1,-47.9925,298.150,1.00000,True,True,,False,1 imaginary frequency/frequencies
dihydroanthracene,gas,,dihydroanthracene/dihydroanthracene_gas_retry_from_water.log,dihydroanthracene_gas_retry_M052X_631pGdp.chk,dihydroanthracene_water_smd_M052X_631pGdp.chk,"#p M052X/6-31+G(d,p) Opt=(CalcFC,MaxCycles=200) Freq Int=UltraFine SCF =(XQC,Tight) NoSymm Geom=Checkpoint Guess=Read","M052X/6-31+G(d,p)",26,0,1,8,12GB,True,2,0,True,True,-540.715729957,-540.530799,0.184931,72,0,55.3389,298.150,1.00000,True,True,,True,
